GENERAL,STOCK 24 - GENERAL,STOCK 12 - GENERAL,STOCK 4 - GENERAL,,JAMIRO QUAI,STOCK 4 - JAMIRO QUAI,TART HUITRE,STOCK 4 - TART,VOGUE,STOCK 4 - VOGUE,,MERC,STOCK 24 - MERC,STOCK 12 - MERC,STOCK 4 - MERC,,MELANGE 12 - BOLD,MELANGE 12 - PARSLEY
0010,0040,0040,0040,,JQ0005,JQ0005,TH0005,TH0005,V0005,V0005,,6010,6015,6015,6015,,600 BLU CH,800 BLU CH
0020,1440,1440,0980,,JQ0010,JQ0010,TH0010,TH0010,V0010,V0010,,6015,6085,6085,6085,,610 BLU ME,810 BLU ME
0030,1090,1090,1090,,JQ0015,JQ0105,TH0015,TH0105,V0015,V0075,,6020,6495,6495,6495,,620 BLU SC,820 BLU SC
0040,0980,0980,1440,,JQ0020,JQ0075,TH0020,TH0075,V0020,V0105,,6025,6190,6190,6190,,630 BLU SC+,830 BLU SC+
0050,1430,1430,,,JQ0025,,TH0025,,V0025,,,6030,6130,6130,,,640 GRIGIO CH,840 GRIGIO CH
0060,0600,0600,,,JQ0030,,TH0030,,V0030,,,6035,6350,6350,,,650 GRIGIO ME,850 GRIGIO ME
0070,0630,0630,,,JQ0035,,TH0035,,V0035,,,6040,6115,6115,,,660 GRIGIO SC,860 GRIGIO SC
0080,1370,1370,,,JQ0040,,TH0040,,V0040,,,6045,6320,6320,,,670 GRIGIO SC+,870 GRIGIO SC+
0090,0380,0380,,,JQ0045,,TH0045,,V0045,,,6050,6450,6450,,,680 BEIGE,880 BEIGE
0100,0190,0190,,,JQ0050,,TH0050,,V0050,,,6055,6100,6100,,,690 BEIGE ME,890 BEIGE ME
0110,0160,0160,,,JQ0055,,TH0055,,V0055,,,6060,6175,6175,,,700 BEIGE SC,900 BEIGE SC
0120,0860,0860,,,JQ0060,,TH0060,,V0060,,,6065,6250,,,,710 BEIGE SC+,910 BEIGE SC+
0130,0690,,,,JQ0065,,TH0065,,V0065,,,6070,6305,,,,,
0140,0220,,,,JQ0070,,TH0070,,V0070,,,6075,6690,,,,,
0150,0970,,,,JQ0075,,TH0075,,V0075,,,6080,6550,,,,,
0160,1100,,,,JQ0080,,TH0080,,V0080,,,6085,6705,,,,,
0170,0490,,,,JQ0085,,TH0085,,V0085,,,6090,6555,,,,,
0180,0250,,,,JQ0090,,TH0090,,V0090,,,6095,6645,,,,,
